sum.taxonomy	c19_fishcard_ALL.MIU.1.S31	c19_fishcard_ALL.MIU.2.S110	c19_fishcard_ALL.MIU.3.S189	c19_fishcard_BBA.MIU.1.S34	c19_fishcard_BBA.MIU.2.S113	c19_fishcard_BBA.MIU.3.S192	c19_fishcard_BBB.MIU.1.S35	c19_fishcard_BBB.MIU.2.S114	c19_fishcard_BBB.MIU.3.S193	c19_fishcard_BBC.MIU.1.S36	c19_fishcard_BBC.MIU.2.S115	c19_fishcard_BBC.MIU.3.S194	c19_fishcard_BWA.MIU.1.S49	c19_fishcard_BWA.MIU.2.S128	c19_fishcard_BWA.MIU.3.S207	c19_fishcard_BWB.MIU.1.S50	c19_fishcard_BWB.MIU.2.S129	c19_fishcard_BWB.MIU.3.S208	c19_fishcard_BWC.MIU.1.S51	c19_fishcard_BWC.MIU.2.S130	c19_fishcard_BWC.MIU.3.S209	c19_fishcard_CAMEL.MIU.1.S58	c19_fishcard_CAMEL.MIU.2.S137	c19_fishcard_CAMEL.MIU.3.S216	c19_fishcard_CBA.MIU.1.S10	c19_fishcard_CBA.MIU.2.S89	c19_fishcard_CBA.MIU.3.S168	c19_fishcard_CBB.MIU.1.S11	c19_fishcard_CBB.MIU.2.S90	c19_fishcard_CBB.MIU.3.S169	c19_fishcard_CBC.MIU.1.S12	c19_fishcard_CBC.MIU.2.S91	c19_fishcard_CBC.MIU.3.S170	c19_fishcard_CCA.MIU.1.S25	c19_fishcard_CCA.MIU.2.S104	c19_fishcard_CCA.MIU.3.S183	c19_fishcard_CCB.MIU.1.S26	c19_fishcard_CCB.MIU.2.S105	c19_fishcard_CCB.MIU.3.S184	c19_fishcard_CCC.MIU.1.S27	c19_fishcard_CCC.MIU.2.S106	c19_fishcard_CCC.MIU.3.S185	c19_fishcard_CHA.MIU.1.S43	c19_fishcard_CHA.MIU.2.S122	c19_fishcard_CHA.MIU.3.S201	c19_fishcard_CHB.MIU.1.S44	c19_fishcard_CHB.MIU.2.S123	c19_fishcard_CHB.MIU.3.S202	c19_fishcard_CHC.MIU.1.S45	c19_fishcard_CHC.MIU.2.S124	c19_fishcard_CHC.MIU.3.S203	c19_fishcard_CPA.MIU.1.S4	c19_fishcard_CPA.MIU.2.S83	c19_fishcard_CPA.MIU.3.S162	c19_fishcard_CPB.MIU.1.S5	c19_fishcard_CPB.MIU.2.S84	c19_fishcard_CPB.MIU.3.S163	c19_fishcard_CPC.MIU.1.S6	c19_fishcard_CPC.MIU.2.S85	c19_fishcard_CPC.MIU.3.S164	c19_fishcard_DPA.MIU.1.S55	c19_fishcard_DPA.MIU.2.S134	c19_fishcard_DPA.MIU.3.S213	c19_fishcard_DPB.MIU.1.S56	c19_fishcard_DPB.MIU.2.S135	c19_fishcard_DPB.MIU.3.S214	c19_fishcard_DPC.MIU.1.S57	c19_fishcard_DPC.MIU.2.S136	c19_fishcard_DPC.MIU.3.S215	c19_fishcard_EBA.MIU.1.S46	c19_fishcard_EBA.MIU.2.S125	c19_fishcard_EBA.MIU.3.S204	c19_fishcard_EBB.MIU.1.S47	c19_fishcard_EBB.MIU.2.S126	c19_fishcard_EBB.MIU.3.S205	c19_fishcard_EBC.MIU.1.S48	c19_fishcard_EBC.MIU.2.S127	c19_fishcard_EBC.MIU.3.S206	c19_fishcard_FCA.MIU.1.S7	c19_fishcard_FCA.MIU.2.S86	c19_fishcard_FCA.MIU.3.S165	c19_fishcard_FCB.MIU.1.S8	c19_fishcard_FCB.MIU.2.S87	c19_fishcard_FCB.MIU.3.S166	c19_fishcard_FCC.MIU.1.S9	c19_fishcard_FCC.MIU.2.S88	c19_fishcard_FCC.MIU.3.S167	c19_fishcard_FPA.MIU.1.S16	c19_fishcard_FPA.MIU.2.S95	c19_fishcard_FPA.MIU.3.S174	c19_fishcard_FPB.MIU.1.S17	c19_fishcard_FPB.MIU.2.S96	c19_fishcard_FPB.MIU.3.S175	c19_fishcard_FPC.MIU.1.S18	c19_fishcard_FPC.MIU.2.S97	c19_fishcard_FPC.MIU.3.S176	c19_fishcard_LCZA.A.MIU.1.S63	c19_fishcard_LCZA.A.MIU.2.S142	c19_fishcard_LCZA.A.MIU.3.S221	c19_fishcard_LCZA.B.MIU.1.S64	c19_fishcard_LCZA.B.MIU.2.S143	c19_fishcard_LCZA.B.MIU.3.S222	c19_fishcard_LCZA.C.MIU.1.S65	c19_fishcard_LCZA.C.MIU.2.S144	c19_fishcard_LCZA.C.MIU.3.S223	c19_fishcard_LHA.MIU.1.S52	c19_fishcard_LHA.MIU.2.S131	c19_fishcard_LHA.MIU.3.S210	c19_fishcard_LHB.MIU.1.S53	c19_fishcard_LHB.MIU.2.S132	c19_fishcard_LHB.MIU.3.S211	c19_fishcard_LHC.MIU.1.S54	c19_fishcard_LHC.MIU.2.S133	c19_fishcard_LHC.MIU.3.S212	c19_fishcard_LTGOeDNA1.2.A.MIU.1.S72	c19_fishcard_LTGOeDNA1.2.A.MIU.2.S151	c19_fishcard_LTGOeDNA1.2.A.MIU.3.S230	c19_fishcard_LTGOeDNA1.2.B.MIU.1.S73	c19_fishcard_LTGOeDNA1.2.B.MIU.2.S152	c19_fishcard_LTGOeDNA1.2.B.MIU.3.S231	c19_fishcard_LTGOeDNA1.2.C.MIU.1.S74	c19_fishcard_LTGOeDNA1.2.C.MIU.2.S153	c19_fishcard_LTGOeDNA1.2.C.MIU.3.S232	c19_fishcard_LTGOeDNA5.0.A.MIU.1.S75	c19_fishcard_LTGOeDNA5.0.A.MIU.2.S154	c19_fishcard_LTGOeDNA5.0.A.MIU.3.S233	c19_fishcard_LTGOeDNA5.0.B.MIU.1.S76	c19_fishcard_LTGOeDNA5.0.B.MIU.2.S155	c19_fishcard_LTGOeDNA5.0.B.MIU.3.S234	c19_fishcard_LTGOeDNA5.0.C.MIU.1.S77	c19_fishcard_LTGOeDNA5.0.C.MIU.2.S156	c19_fishcard_LTGOeDNA5.0.C.MIU.3.S235	c19_fishcard_LTPG.A.MIU.1.S66	c19_fishcard_LTPG.A.MIU.2.S145	c19_fishcard_LTPG.A.MIU.3.S224	c19_fishcard_LTPG.B.MIU.1.S67	c19_fishcard_LTPG.B.MIU.2.S146	c19_fishcard_LTPG.B.MIU.3.S225	c19_fishcard_LTPG.C.MIU.1.S68	c19_fishcard_LTPG.C.MIU.2.S147	c19_fishcard_LTPG.C.MIU.3.S226	c19_fishcard_NEG.MIU.A.1.S32	c19_fishcard_NEG.MIU.B.1.S59	c19_fishcard_NEG.MIU.C.1.S79	c19_fishcard_PIDB.A.MIU.1.S69	c19_fishcard_PIDB.A.MIU.2.S148	c19_fishcard_PIDB.A.MIU.3.S227	c19_fishcard_PIDB.B.MIU.1.S70	c19_fishcard_PIDB.B.MIU.2.S149	c19_fishcard_PIDB.B.MIU.3.S228	c19_fishcard_PIDB.C.MIU.1.S71	c19_fishcard_PIDB.C.MIU.2.S150	c19_fishcard_PIDB.C.MIU.3.S229	c19_fishcard_PTDS.A.MIU.1.S60	c19_fishcard_PTDS.A.MIU.2.S139	c19_fishcard_PTDS.A.MIU.3.S218	c19_fishcard_PTDS.B.MIU.1.S61	c19_fishcard_PTDS.B.MIU.2.S140	c19_fishcard_PTDS.B.MIU.3.S219	c19_fishcard_PTDS.C.MIU.1.S62	c19_fishcard_PTDS.C.MIU.2.S141	c19_fishcard_PTDS.C.MIU.3.S220	c19_fishcard_RBA.MIU.1.S37	c19_fishcard_RBA.MIU.2.S116	c19_fishcard_RBA.MIU.3.S195	c19_fishcard_RBB.MIU.1.S38	c19_fishcard_RBB.MIU.2.S117	c19_fishcard_RBB.MIU.3.S196	c19_fishcard_RBC.MIU.1.S39	c19_fishcard_RBC.MIU.2.S118	c19_fishcard_RBC.MIU.3.S197	c19_fishcard_SAA.MIU.1.S28	c19_fishcard_SAA.MIU.2.S107	c19_fishcard_SAA.MIU.3.S186	c19_fishcard_SAB.MIU.1.S29	c19_fishcard_SAB.MIU.2.S108	c19_fishcard_SAB.MIU.3.S187	c19_fishcard_SAC.MIU.1.S30	c19_fishcard_SAC.MIU.2.S109	c19_fishcard_SAC.MIU.3.S188	c19_fishcard_SCA1127.MIU.1.S40	c19_fishcard_SCA1127.MIU.2.S119	c19_fishcard_SCA1127.MIU.3.S198	c19_fishcard_SCA927.MIU.1.S22	c19_fishcard_SCA927.MIU.2.S101	c19_fishcard_SCA927.MIU.3.S180	c19_fishcard_SCB1127.MIU.1.S41	c19_fishcard_SCB1127.MIU.2.S120	c19_fishcard_SCB1127.MIU.3.S199	c19_fishcard_SCB927.MIU.1.S23	c19_fishcard_SCB927.MIU.2.S102	c19_fishcard_SCB927.MIU.3.S181	c19_fishcard_SCC1127.MIU.1.S42	c19_fishcard_SCC1127.MIU.2.S121	c19_fishcard_SCC1127.MIU.3.S200	c19_fishcard_SCC927.MIU.1.S24	c19_fishcard_SCC927.MIU.2.S103	c19_fishcard_SCC927.MIU.3.S182	c19_fishcard_SMA.MIU.1.S1	c19_fishcard_SMA.MIU.2.S80	c19_fishcard_SMA.MIU.3.S159	c19_fishcard_SMB.MIU.1.S2	c19_fishcard_SMB.MIU.2.S81	c19_fishcard_SMB.MIU.3.S160	c19_fishcard_SMC.MIU.1.S3	c19_fishcard_SMC.MIU.2.S82	c19_fishcard_SMC.MIU.3.S161	c19_fishcard_SPA.MIU.1.S19	c19_fishcard_SPA.MIU.2.S98	c19_fishcard_SPA.MIU.3.S177	c19_fishcard_SPB.MIU.1.S20	c19_fishcard_SPB.MIU.2.S99	c19_fishcard_SPB.MIU.3.S178	c19_fishcard_SPC.MIU.1.S21	c19_fishcard_SPC.MIU.2.S100	c19_fishcard_SPC.MIU.3.S179	c19_fishcard_WCA.MIU.1.S13	c19_fishcard_WCA.MIU.2.S92	c19_fishcard_WCA.MIU.3.S171	c19_fishcard_WCB.MIU.1.S14	c19_fishcard_WCB.MIU.2.S93	c19_fishcard_WCB.MIU.3.S172	c19_fishcard_WCC.MIU.1.S15	c19_fishcard_WCC.MIU.2.S94	c19_fishcard_WCC.MIU.3.S173	c19_fishcard_X1.MIU.1.S33	c19_fishcard_X1.MIU.2.S112	c19_fishcard_X1.MIU.3.S191	c19_fishcard_Blank.MIU.1.S78	c19_fishcard_Blank.MIU.3.S236	c19_fishcard_NEG.MIU.A.2.S111	c19_fishcard_NEG.MIU.B.3.S217	c19_fishcard_NEG.MIU.C.3.S237
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Stegastes;Stegastes albifasciatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Atractoscion;Atractoscion nobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376	0	0	0	453	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	480	1461	0	0	1350	215	140	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1454	0	39	0	0	0	0	455	0	0	0	0	0	0	534	1466	0	183	0	0	775	447	373	2789	0	950	1503	0	0	1376	0	0	27	172	0	0	90	51	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	1550	161	99	699	702	2021	275	961	322	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cheilotrema;Cheilotrema saturnum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	133	0	0	0	0	0	0	0	0	79	315	628	0	0	885	0	0	0	0	0	497	0	158	0	0	0	0	0	0	21	0	140	0	0	93	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Genyonemus;Genyonemus lineatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1700	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	555	259	0	0	0	0	1615	0	0	0	0	0	1449	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Menticirrhus;Menticirrhus undulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	1194	0	2031	0	4336	1715	3694	1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4110	4003	11608	17592	4869	6226	498	2229	12590	0	0	0	0	0	0	0	0	0	5656	0	0	0	0	0	0	3199	13418	1855	0	5297	0	0	20829	1173	0	0	4729	2259	5497	1400	3683	6085	7994	1031	0	0	0	0	1247	13485	26510	9547	1161	16090	6591	8845	1662	913	1678	3719	629	1784	3558	723	1209	22012	3984	4004	3212	1847	6295	2518	2663	1732	7375	0	0	0	0	0	0	0	0	0	3229	1386	6909	0	0	0	14218	5002	3086	0	0	0	2208	6676	2627	0	0	0	18532	3505	1360	9675	5680	0	6464	2074	2581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2614	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	11	16	1	1	4	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	6	0	0	5	4	4	0	0	0	0	0	0	0	2	2	5	0	19	1	0	0	2	0	7	0	3	19	0	0	8	1	4	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1630	340	18	1218	1422	0	3420	307	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Seriphus;Seriphus politus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	603	0	0	508	0	0	939	505	22	392	971	615	456	313	449	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	470	0	186	0	0	0	791	1860	1730	67	138	441	324	249	233	0	0	0	0	0	0	0	0	0	1016	0	0	4304	0	0	0	1098	1563	2285	976	779	237	1006	1448	534	323	415	0	0	0	52	1075	2305	1979	94	59	682	0	0	206	71	3913	193	54	2688	138	922	1640	1377	3855	1254	1370	1607	1325	1064	1420	2623	0	0	0	0	0	0	0	0	0	155	183	47	0	0	0	121	1200	707	272	0	0	478	525	44	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330	0	78	111	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Umbrina;Umbrina roncador	0	0	0	0	0	0	0	0	0	0	0	0	9395	0	0	1159	2010	449	702	745	1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	1095	1211	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1609	938	1440	1800	845	518	790	281	445	168	79	75	161	120	341	0	0	0	0	0	0	772	0	0	0	3835	0	0	615	0	0	0	0	0	0	0	1164	0	169	377	1061	1255	0	251	571	0	0	0	230	645	2476	1567	462	2696	5798	627	339	453	1209	3212	143	1418	5028	500	481	4701	581	1559	663	49	436	244	398	174	1236	0	0	0	0	0	0	0	0	0	0	270	249	477	0	0	0	0	269	214	0	0	390	0	366	531	0	0	11133	3192	1746	6550	1117	0	6370	2434	3551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	5037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	2689	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579	0	0	0	0	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	1811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4566	0	0	0	0	17	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Chilara;Chilara taylori	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	10	0	29	25	39	67	18	11	249	0	0	0	0	3	0	1	0	0	0	0	270	0	91	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Ophidion;Ophidion scrippsae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220	1869	5483	151	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Osmeriformes;Salangidae;Mallotus;Mallotus villosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Pempheriformes;Epigonidae;Epigonus;Epigonus denticulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarrhichthys;Anarrhichthys ocellatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Aulorhynchidae;Aulorhynchus;Aulorhynchus flavidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1914	0	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
