"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"61","eDNA",61,"Extrapolation",0,94.3535309619451,84.1077168469803,104.59934507691,0.999765901700004,0.998205423798413,1
"62","eDNA",62,"Extrapolation",0,94.3616693204921,84.0705103042054,104.652828336779,0.999786644587345,0.998300633118395,1
"63","eDNA",63,"Extrapolation",0,94.3690865586614,84.034779307052,104.703393810271,0.999805549497327,0.998390399277191,1
"64","eDNA",64,"Extrapolation",0,94.3758465731955,84.000482879077,104.751210267314,0.999822779288703,0.998475059684675,1
"65","eDNA",65,"Extrapolation",0,94.3820075991,83.9675790876302,104.79643611057,0.999838482389704,0.998554929271144,1
"66","eDNA",66,"Extrapolation",0,94.3876227113168,83.9360253810513,104.839220041582,0.999852794076692,0.998630302056689,1
"67","eDNA",67,"Extrapolation",0,94.3927402819447,83.9057788797425,104.879701684147,0.999865837639517,0.998701452610928,1
"68","eDNA",68,"Extrapolation",0,94.3974043969474,83.8767966265715,104.918012167323,0.999877725443611,0.998768637410017,1
"69","eDNA",69,"Extrapolation",0,94.4016552359371,83.84903580142,104.954274670454,0.999888559897974,0.998832096097641,1
"70","eDNA",70,"Extrapolation",0,94.4055294183076,83.8224539041291,104.988604932486,0.999898434337394,0.998892052656354,1
"71","eDNA",71,"Extrapolation",0,94.4090603186958,83.7970089096049,105.021111727787,0.999907433826486,0.998948716495358,1
"72","eDNA",72,"Extrapolation",0,94.4122783544927,83.7726593984115,105.051897310574,0.999915635892493,0.999002283460478,1
"73","eDNA",73,"Extrapolation",0,94.4152112478772,83.7493646657999,105.081057829954,0.999923111193159,0.999052936771765,1
"74","eDNA",74,"Extrapolation",0,94.4178842646326,83.7270848117838,105.108683717482,0.99992992412541,0.999100847893832,1
"75","eDNA",75,"Extrapolation",0,94.4203204318022,83.7057808145761,105.134860049028,0.999936133380121,0.999146177343711,1
"76","eDNA",76,"Extrapolation",0,94.422540736058,83.6854145894407,105.159666882675,0.999941792447705,0.999189075440719,1
"77","eDNA",77,"Extrapolation",0,94.4245643044937,83.6659490347761,105.183179574211,0.999946950078921,0.999229683002507,1
"78","eDNA",78,"Extrapolation",0,94.426408569397,83.6473480670486,105.205469071745,0.99995165070484,0.999268131991214,1
"79","eDNA",79,"Extrapolation",0,94.4280894184229,83.6295766460031,105.226602190843,0.9999559348196,0.999304546113337,1
"80","eDNA",80,"Extrapolation",0,94.4296213314592,83.6126007914236,105.246641871495,0.999959839329256,0.999339041376714,1
"81","eDNA",81,"Extrapolation",0,94.4310175053656,83.5963875925676,105.265647418164,0.999963397869702,0.999371726607757,1
"82","eDNA",82,"Extrapolation",0,94.4322899676601,83.580905211272,105.283674724048,0.999966641096437,0.999402703931846,1
"83","eDNA",83,"Extrapolation",0,94.433449680131,83.5661228796144,105.300776480648,0.999969596948652,0.999432069219595,1
"84","eDNA",84,"Extrapolation",0,94.4345066332691,83.5520108929126,105.317002373626,0.99997229088991,0.999459912501498,1
"85","eDNA",85,"Extrapolation",0,94.4354699323316,83.5385405987534,105.33239926591,0.999974746127513,0.999486318353271,1
"86","eDNA",86,"Extrapolation",0,94.436347875781,83.5256843826637,105.347011368898,0.999976983812417,0.999511366254062,1
"87","eDNA",87,"Extrapolation",0,94.4371480267729,83.5134156509644,105.360880402581,0.999979023221443,0.999535130919497,1
"88","eDNA",88,"Extrapolation",0,94.4378772783097,83.5017088112827,105.374045745337,0.999980881923341,0.999557682611433,1
"89","eDNA",89,"Extrapolation",0,94.4385419126218,83.4905392511443,105.386544574099,0.999982575930133,0.999579087426109,1
"90","eDNA",90,"Extrapolation",0,94.439147655286,83.4798833150143,105.398411995558,0.999984119835058,0.999599407562284,1
"91","eDNA",91,"Extrapolation",0,94.4396997245496,83.4697182801106,105.409681168989,0.999985526938281,0.999618701570824,1
"92","eDNA",92,"Extrapolation",0,94.4402028762835,83.4600223312753,105.420383421292,0.999986809361471,0.999637024587084,1
"93","eDNA",93,"Extrapolation",0,94.4406614449523,83.4507745351523,105.430548354752,0.999987978152227,0.999654428547348,1
"94","eDNA",94,"Extrapolation",0,94.4410793809543,83.4419548138876,105.440203948021,0.999989043379245,0.999670962390474,1
"95","eDNA",95,"Extrapolation",0,94.4414602846523,83.433543918541,105.449376650764,0.999990014219059,0.999686672245827,1
"96","eDNA",96,"Extrapolation",0,94.4418074373898,83.4255234023736,105.458091472406,0.999990899035091,0.99970160160847,1
"97","eDNA",97,"Extrapolation",0,94.442123829758,83.4178755941501,105.466372065366,0.999991705449704,0.999715791502557,1
"98","eDNA",98,"Extrapolation",0,94.4424121873595,83.41058357158,105.474240803139,0.999992440409856,0.999729280633754,1
"99","eDNA",99,"Extrapolation",0,94.4426749942875,83.4036311349983,105.481718853577,0.999993110246958,0.999742105531481,1
"100","eDNA",100,"Extrapolation",0,94.4429145145256,83.3970027813764,105.488826247675,0.999993720731404,0.999754300681698,1
"101","BRUV",1,"Rarefaction",0,6.29411764705882,5.32586375101942,7.26237154309823,0.42873831775701,0.35397011898013,0.503506516533889
"102","BRUV",2,"Rarefaction",0,9.88970588235296,8.55634687097965,11.2230648937263,0.584579439252336,0.51681102379244,0.652347854712232
"103","BRUV",3,"Rarefaction",0,12.5044117647059,10.8091101242082,14.1997134052035,0.655841121495328,0.596109596168188,0.715572646822468
"104","BRUV",4,"Rarefaction",0,14.6705882352941,12.638886824901,16.7022896456872,0.697920303995072,0.643299793383764,0.75254081460638
"105","BRUV",5,"Rarefaction",0,16.5719133807369,14.2407245045811,18.9031022568928,0.728278730615179,0.676498401667336,0.780059059563022
"106","BRUV",6,"Rarefaction",0,18.2821590174532,15.6858134641642,20.8785045707422,0.752928146619735,0.70263231994359,0.80322397329588
"107","BRUV",7,"Rarefaction",0,19.8372583299055,17.0045333340511,22.6699833257599,0.774078491601856,0.724502862836276,0.823654120367436
"108","BRUV",8,"Rarefaction",0,21.2592348827643,18.2133555146054,24.3051142509233,0.79266061041762,0.743429853883758,0.841891366951482
"109","BRUV",9,"Rarefaction",0,22.5642533936652,19.3235492753991,25.8049575119313,0.809184040258807,0.760161502967453,0.858206577550161
"110","BRUV",10,"Rarefaction",0,23.7652714932128,20.3439926036235,27.1865503828021,0.823996097360584,0.775168024865216,0.872824169855951
"111","BRUV",11,"Rarefaction",0,24.8730607627667,21.2821739114688,28.4639476140646,0.837360069836705,0.788755864355529,0.885964275317882
"112","BRUV",12,"Rarefaction",0,25.8967356173239,22.1446039501355,29.6488672845123,0.849481359761734,0.801122430340519,0.897840289182948
"113","BRUV",13,"Rarefaction",0,26.8441176470589,22.9370088676291,30.7512264264886,0.860514018691589,0.812380532254747,0.908647505128431
"114","BRUV",14,"Rarefaction",0,27.7220588235294,23.6644610545007,31.7796565925581,0.870560747663551,0.822569002136296,0.918552493190806
"115","BRUV",15,"Rarefaction",0,28.5367647058824,24.3315154669051,32.7420139448596,0.879672897196262,0.831659490862961,0.927686303529563
"116","BRUV",16,"Rarefaction",0,29.2941176470588,24.9423695962692,33.6458656978484,0.88785046728972,0.839560528656494,0.936140405922946
"117","BRUV",17,"Observed",0,30,25.5010481077124,34.4989518922876,0.89547228019236,0.846923404865016,0.944021155519704
"118","BRUV",18,"Extrapolation",0,30.6579097658481,26.0101357301413,35.3056838015549,0.902576105810355,0.853847838557399,0.951304373063311
"119","BRUV",19,"Extrapolation",0,31.2711072175123,26.4722034871639,36.0700109478608,0.909197147163049,0.860399766879307,0.957994527446792
"120","BRUV",20,"Extrapolation",0,31.8426310559567,26.8898498275332,36.7954122843801,0.91536821483158,0.866623284096727,0.964113145566433
"121","BRUV",21,"Extrapolation",0,32.3753134684873,27.2657016419368,37.4849252950378,0.921119889551764,0.872548593986383,0.969691185117144
"122","BRUV",22,"Extrapolation",0,32.8717941636615,27.6023949490915,38.1411933782315,0.926480673756984,0.878197176758904,0.974764170755064
"123","BRUV",23,"Extrapolation",0,33.3345334523675,27.9025473206693,38.7665195840658,0.931477132822043,0.883585097677112,0.979369167966974
"124","BRUV",24,"Extrapolation",0,33.7658244398994,28.1687291828193,39.3629196969794,0.936134026707924,0.888725103908125,0.983542949507722
"125","BRUV",25,"Extrapolation",0,34.1678043894436,28.4034379332916,39.9321708455956,0.940474432659812,0.893627940042177,0.987320925277448
"126","BRUV",26,"Extrapolation",0,34.5424653132907,28.6090767508717,40.4758538757096,0.944519859566427,0.89830316275564,0.990736556377214
"127","BRUV",27,"Extrapolation",0,34.8916638442549,28.7879386832536,40.9953890052562,0.94829035454735,0.902759635728329,0.99382107336637
"128","BRUV",28,"Extrapolation",0,35.2171304362216,28.9421958380638,41.4920650343795,0.951804602296559,0.907005821419498,0.996603383173619
"129","BRUV",29,"Extrapolation",0,35.5204779394139,29.0738930978983,41.9670627809294,0.955080017674462,0.911049944759451,0.999110090589474
"130","BRUV",30,"Extrapolation",0,35.8032095928746,29.1849456094944,42.4214735762548,0.958132832007266,0.914900077087691,1
"131","BRUV",31,"Extrapolation",0,36.06672647377,29.2771392700129,42.8563136775272,0.960978173521335,0.918564171442945,1
"132","BRUV",32,"Extrapolation",0,36.3123344404299,29.3521334873919,43.2725353934678,0.963630142311148,0.922050069171981,1
"133","BRUV",33,"Extrapolation",0,36.5412506035303,29.4114655851085,43.6710356219521,0.966101880212332,0.925365490598189,1
"134","BRUV",34,"Extrapolation",0,36.754609357488,29.4565563281449,44.052662386831,0.968405635926057,0.928518017791774,1
"135","BRUV",35,"Extrapolation",0,36.9534680019534,29.4887161511031,44.4182198528037,0.97055282571749,0.931515074424846,1
"136","BRUV",36,"Extrapolation",0,37.138811981261,29.5091517632086,44.7684721993133,0.972554089989117,0.934363905706873,1
"137","BRUV",37,"Extrapolation",0,37.3115597678,29.5189728850619,45.1041466505382,0.974419346009274,0.937071560109844,1
"138","BRUV",38,"Extrapolation",0,37.4725674135064,29.5191989378751,45.4259358891377,0.976157837057187,0.939644873767816,1
"139","BRUV",39,"Extrapolation",0,37.6226327920288,29.510765558555,45.7345000255026,0.977778178228058,0.942090457914508,1
"140","BRUV",40,"Extrapolation",0,37.7624995525934,29.4945308550186,46.0304682501682,0.97928839912518,0.944414689401607,1
"141","BRUV",41,"Extrapolation",0,37.8928608051584,29.4712813474418,46.314440262875,0.980695983650653,0.946623704150395,1
"142","BRUV",42,"Extrapolation",0,38.0143625551219,29.44173756457,46.5869875456738,0.982007907091871,0.94872339328472,1
"143","BRUV",43,"Extrapolation",0,38.1276069046025,29.4065592813793,46.8486545278257,0.983230670687569,0.950719401643567,1
"144","BRUV",44,"Extrapolation",0,38.2331550361572,29.3663503966711,47.0999596756434,0.984370333844725,0.952617128356539,1
"145","BRUV",45,"Extrapolation",0,38.3315299937228,29.3216634577353,47.3413965297103,0.985432544165957,0.954421729171714,1
"146","BRUV",46,"Extrapolation",0,38.4232192745606,29.2730038449597,47.5734347041614,0.986422565436232,0.956138120243998,1
"147","BRUV",47,"Extrapolation",0,38.5086772450502,29.2208336329024,47.796520857198,0.987345303707556,0.957770983117207,1
"148","BRUV",48,"Extrapolation",0,38.5883273923026,29.1655751464536,48.0110796381517,0.988205331610926,0.959324770661093,1
"149","BRUV",49,"Extrapolation",0,38.6625644227515,29.1076142317106,48.2175146137924,0.989006911016009,0.960803713752942,1
"150","BRUV",50,"Extrapolation",0,38.7317562181213,29.0473032614066,48.4162091748361,0.989754014150843,0.962211828520771,1
"151","BRUV",51,"Extrapolation",0,38.796245658466,28.9849638944073,48.6075274225247,0.990450343286223,0.963552923990797,1
"152","BRUV",52,"Extrapolation",0,38.8563523213116,28.9208896081106,48.7918150345126,0.991099349082304,0.96483061000519,1
"153","BRUV",53,"Extrapolation",0,38.912374065323,28.8553480216667,48.9694001089792,0.991704247688361,0.966048305297131,1
"154","BRUV",54,"Extrapolation",0,38.9645885063433,28.7885830269007,49.1405939857858,0.992268036680415,0.967209245628792,1
"155","BRUV",55,"Extrapolation",0,39.0132543931195,28.7208167427065,49.3056920435324,0.992793509915726,0.968316491914162,1
"156","BRUV",56,"Extrapolation",0,39.0586128895323,28.6522513075645,49.4649744715,0.993283271377764,0.969372938262878,1
"157","BRUV",57,"Extrapolation",0,39.100888769684,28.5830705237284,49.6187070156396,0.993739748080246,0.970381319893445,1
"158","BRUV",58,"Extrapolation",0,39.1402915317671,28.5134413655631,49.7671416979711,0.99416520209421,0.97134422087478,1
"159","BRUV",59,"Extrapolation",0,39.177016436233,28.4435153635026,49.9105175089634,0.99456174175771,0.97226408166402,1
"160","BRUV",60,"Extrapolation",0,39.211245473405,28.3734298741431,50.049061072667,0.994931332123691,0.973143206416127,1
"161","BRUV",61,"Extrapolation",0,39.2431482653324,28.3033092461041,50.1829872845607,0.995275804697809,0.973983770047289,1
"162","BRUV",62,"Extrapolation",0,39.2728829063521,28.2332658904606,50.3124999222436,0.995596866514463,0.974787825039518,1
"163","BRUV",63,"Extrapolation",0,39.3005967465257,28.1634012637967,50.4377922292548,0.995896108596004,0.975557307978347,1
"164","BRUV",64,"Extrapolation",0,39.3264271218332,28.0938067712315,50.559047472435,0.996175013837053,0.976294045819285,1
"165","BRUV",65,"Extrapolation",0,39.3505020347412,28.0245645961282,50.6764394733542,0.996434964352981,0.976999761881755,1
"166","BRUV",66,"Extrapolation",0,39.3729407885195,27.9557484626165,50.7901331144225,0.996677248328992,0.977676081571766,1
"167","BRUV",67,"Extrapolation",0,39.3938545784488,27.8874243365219,50.9002848203757,0.996903066403721,0.978324537836596,1
"168","BRUV",68,"Extrapolation",0,39.4133470428489,27.819651069812,51.0070430158858,0.997113537619002,0.978946576356385,1
"169","BRUV",69,"Extrapolation",0,39.4315147766587,27.7524809932265,51.110548560091,0.997309704965283,0.979543560478829,1
"170","BRUV",70,"Extrapolation",0,39.4484478101125,27.6859604613531,51.2109351588719,0.997492540550167,0.980116775904121,1
