New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
FCB_2	Santa_Cruz_Island	Forney	B	2	8/25/18	FCB	9/27/18	1250	Sample	FCB_2	NA	3
FCB_3	Santa_Cruz_Island	Forney	B	3	8/25/18	FCB	9/27/18	1250	Sample	FCB_3	NA	3
FCC_1	Santa_Cruz_Island	Forney	C	1	8/25/18	FCC	9/27/18	1200	Sample	FCC_1	NA	3
FCC_2	Santa_Cruz_Island	Forney	C	2	8/25/18	FCC	9/27/18	1200	Sample	FCC_2	NA	3
FCC_3	Santa_Cruz_Island	Forney	C	3	8/25/18	FCC	9/27/18	1200	Sample	FCC_3	NA	3
FPA_1	Santa_Rosa_Island	Ford_Pt	A	1	9/9/18	FPA	9/27/18	900	Sample	FPA_1	NA	3
FPA_2	Santa_Rosa_Island	Ford_Pt	A	2	9/9/18	FPA	9/27/18	900	Sample	FPA_2	NA	3
FPA_3	Santa_Rosa_Island	Ford_Pt	A	3	9/9/18	FPA	9/27/18	900	Sample	FPA_3	NA	3
FPB_1	Santa_Rosa_Island	Ford_Pt	B	1	9/9/18	FPB	9/27/18	1250	Sample	FPB_1	NA	3
FPB_2	Santa_Rosa_Island	Ford_Pt	B	2	9/9/18	FPB	9/27/18	1250	Sample	FPB_2	NA	3
FPB_3	Santa_Rosa_Island	Ford_Pt	B	3	9/9/18	FPB	9/27/18	1250	Sample	FPB_3	NA	3
FPC_1	Santa_Rosa_Island	Ford_Pt	C	1	9/9/18	FPC	9/27/18	1000	Sample	FPC_1	NA	3
FPC_2	Santa_Rosa_Island	Ford_Pt	C	2	9/9/18	FPC	9/27/18	1000	Sample	FPC_2	NA	3
FPC_3	Santa_Rosa_Island	Ford_Pt	C	3	9/9/18	FPC	9/27/18	1000	Sample	FPC_3	NA	3
LCZA.A_1	Gold_mpawatch	LCZA	A	1	NA	LCZA.A	NA	500	Sample	LCZA.A_1	NA	3
LCZA.A_2	Gold_mpawatch	LCZA	A	2	NA	LCZA.A	NA	500	Sample	LCZA.A_2	NA	3
LCZA.A_3	Gold_mpawatch	LCZA	A	3	NA	LCZA.A	NA	500	Sample	LCZA.A_3	NA	3
LCZA.B_1	Gold_mpawatch	LCZA	B	1	NA	LCZA.B	NA	500	Sample	LCZA.B_1	NA	3
LCZA.B_2	Gold_mpawatch	LCZA	B	2	NA	LCZA.B	NA	500	Sample	LCZA.B_2	NA	3
LCZA.B_3	Gold_mpawatch	LCZA	B	3	NA	LCZA.B	NA	500	Sample	LCZA.B_3	NA	3
LCZA.C_1	Gold_mpawatch	LCZA	C	1	NA	LCZA.C	NA	500	Sample	LCZA.C_1	NA	3
LCZA.C_2	Gold_mpawatch	LCZA	C	2	NA	LCZA.C	NA	500	Sample	LCZA.C_2	NA	3
LCZA.C_3	Gold_mpawatch	LCZA	C	3	NA	LCZA.C	NA	500	Sample	LCZA.C_3	NA	3
LHA_1	Santa_Catalina_Island	Little_Harbor	A	1	10/19/18	LHA	11/27/18	1100	Sample	LHA_1	NA	3
LHA_2	Santa_Catalina_Island	Little_Harbor	A	2	10/19/18	LHA	11/27/18	1100	Sample	LHA_2	NA	3
LHA_3	Santa_Catalina_Island	Little_Harbor	A	3	10/19/18	LHA	11/27/18	1100	Sample	LHA_3	NA	3
LHB_1	Santa_Catalina_Island	Little_Harbor	B	1	10/19/18	LHB	11/27/18	1200	Sample	LHB_1	NA	3
LHB_2	Santa_Catalina_Island	Little_Harbor	B	2	10/19/18	LHB	11/27/18	1200	Sample	LHB_2	NA	3
LHB_3	Santa_Catalina_Island	Little_Harbor	B	3	10/19/18	LHB	11/27/18	1200	Sample	LHB_3	NA	3
LHC_1	Santa_Catalina_Island	Little_Harbor	C	1	10/19/18	LHC	11/27/18	1100	Sample	LHC_1	NA	3
LHC_2	Santa_Catalina_Island	Little_Harbor	C	2	10/19/18	LHC	11/27/18	1100	Sample	LHC_2	NA	3
