New_name,Location,Site,Site_Code,Bio_rep,Tech_rep,Sample_date,eDNA_label,Extraction_date,Volume,Sample_Control,Technical_rep,Control_Type,K,in_visuals,temp_2018,avg_temp_total
DPA_3,Point_Concepcion,Dangermond,DP,A,3,11_2_2018,DPA,11_27_2018,1150,Sample,DPA_3,NA,3,no,15.44249965,15.34044083
DPB_1,Point_Concepcion,Dangermond,DP,B,1,11_2_2018,DPB,11_27_2018,750,Sample,DPB_1,NA,3,no,15.44249965,15.34044083
DPB_2,Point_Concepcion,Dangermond,DP,B,2,11_2_2018,DPB,11_27_2018,750,Sample,DPB_2,NA,3,no,15.44249965,15.34044083
DPB_3,Point_Concepcion,Dangermond,DP,B,3,11_2_2018,DPB,11_27_2018,750,Sample,DPB_3,NA,3,no,15.44249965,15.34044083
DPC_1,Point_Concepcion,Dangermond,DP,C,1,11_2_2018,DPC,11_27_2018,1200,Sample,DPC_1,NA,3,no,15.44249965,15.34044083
DPC_2,Point_Concepcion,Dangermond,DP,C,2,11_2_2018,DPC,11_27_2018,1200,Sample,DPC_2,NA,3,no,15.44249965,15.34044083
DPC_3,Point_Concepcion,Dangermond,DP,C,3,11_2_2018,DPC,11_27_2018,1200,Sample,DPC_3,NA,3,no,15.44249965,15.34044083
EBA_1,Santa_Catalina_Island,Emerald_Bay,EB,A,1,10_21_2018,EBA,11_27_2018,1000,Sample,EBA_1,NA,3,keep,19.15166624,18.25725449
EBA_2,Santa_Catalina_Island,Emerald_Bay,EB,A,2,10_21_2018,EBA,11_27_2018,1000,Sample,EBA_2,NA,3,keep,19.15166624,18.25725449
EBA_3,Santa_Catalina_Island,Emerald_Bay,EB,A,3,10_21_2018,EBA,11_27_2018,1000,Sample,EBA_3,NA,3,keep,19.15166624,18.25725449
EBB_1,Santa_Catalina_Island,Emerald_Bay,EB,B,1,10_21_2018,EBB,11_27_2018,1100,Sample,EBB_1,NA,3,keep,19.15166624,18.25725449
EBB_2,Santa_Catalina_Island,Emerald_Bay,EB,B,2,10_21_2018,EBB,11_27_2018,1100,Sample,EBB_2,NA,3,keep,19.15166624,18.25725449
EBB_3,Santa_Catalina_Island,Emerald_Bay,EB,B,3,10_21_2018,EBB,11_27_2018,1100,Sample,EBB_3,NA,3,keep,19.15166624,18.25725449
EBC_1,Santa_Catalina_Island,Emerald_Bay,EB,C,1,10_21_2018,EBC,11_27_2018,1000,Sample,EBC_1,NA,3,keep,19.15166624,18.25725449
EBC_2,Santa_Catalina_Island,Emerald_Bay,EB,C,2,10_21_2018,EBC,11_27_2018,1000,Sample,EBC_2,NA,3,keep,19.15166624,18.25725449
EBC_3,Santa_Catalina_Island,Emerald_Bay,EB,C,3,10_21_2018,EBC,11_27_2018,1000,Sample,EBC_3,NA,3,keep,19.15166624,18.25725449
FCA_1,Santa_Cruz_Island,Forney,FC,A,1,8_25_2018,FCA,9_27_2018,1250,Sample,FCA_1,NA,3,keep,17.9774996,15.7141173
FCA_2,Santa_Cruz_Island,Forney,FC,A,2,8_25_2018,FCA,9_27_2018,1250,Sample,FCA_2,NA,3,keep,17.9774996,15.7141173
FCA_3,Santa_Cruz_Island,Forney,FC,A,3,8_25_2018,FCA,9_27_2018,1250,Sample,FCA_3,NA,3,keep,17.9774996,15.7141173
FCB_1,Santa_Cruz_Island,Forney,FC,B,1,8_25_2018,FCB,9_27_2018,1250,Sample,FCB_1,NA,3,keep,17.9774996,15.7141173
FCB_2,Santa_Cruz_Island,Forney,FC,B,2,8_25_2018,FCB,9_27_2018,1250,Sample,FCB_2,NA,3,keep,17.9774996,15.7141173
FCB_3,Santa_Cruz_Island,Forney,FC,B,3,8_25_2018,FCB,9_27_2018,1250,Sample,FCB_3,NA,3,keep,17.9774996,15.7141173
FCC_1,Santa_Cruz_Island,Forney,FC,C,1,8_25_2018,FCC,9_27_2018,1200,Sample,FCC_1,NA,3,keep,17.9774996,15.7141173
FCC_2,Santa_Cruz_Island,Forney,FC,C,2,8_25_2018,FCC,9_27_2018,1200,Sample,FCC_2,NA,3,keep,17.9774996,15.7141173
FCC_3,Santa_Cruz_Island,Forney,FC,C,3,8_25_2018,FCC,9_27_2018,1200,Sample,FCC_3,NA,3,keep,17.9774996,15.7141173
FPA_1,Santa_Rosa_Island,Ford_Pt,FP,A,1,9_9_2018,FPA,9_27_2018,900,Sample,FPA_1,NA,3,keep,19.30749957,16.57764669
FPA_2,Santa_Rosa_Island,Ford_Pt,FP,A,2,9_9_2018,FPA,9_27_2018,900,Sample,FPA_2,NA,3,keep,19.30749957,16.57764669
FPA_3,Santa_Rosa_Island,Ford_Pt,FP,A,3,9_9_2018,FPA,9_27_2018,900,Sample,FPA_3,NA,3,keep,19.30749957,16.57764669
FPB_1,Santa_Rosa_Island,Ford_Pt,FP,B,1,9_9_2018,FPB,9_27_2018,1250,Sample,FPB_1,NA,3,keep,19.30749957,16.57764669
FPB_2,Santa_Rosa_Island,Ford_Pt,FP,B,2,9_9_2018,FPB,9_27_2018,1250,Sample,FPB_2,NA,3,keep,19.30749957,16.57764669
FPB_3,Santa_Rosa_Island,Ford_Pt,FP,B,3,9_9_2018,FPB,9_27_2018,1250,Sample,FPB_3,NA,3,keep,19.30749957,16.57764669
FPC_1,Santa_Rosa_Island,Ford_Pt,FP,C,1,9_9_2018,FPC,9_27_2018,1000,Sample,FPC_1,NA,3,keep,19.30749957,16.57764669
FPC_2,Santa_Rosa_Island,Ford_Pt,FP,C,2,9_9_2018,FPC,9_27_2018,1000,Sample,FPC_2,NA,3,keep,19.30749957,16.57764669
FPC_3,Santa_Rosa_Island,Ford_Pt,FP,C,3,9_9_2018,FPC,9_27_2018,1000,Sample,FPC_3,NA,3,keep,19.30749957,16.57764669
LCZA.A_1,Gold_mpawatch,LCZA,LCZA,A,1,NA,LCZA.A,NA,500,Sample,LCZA.A_1,NA,3,no,NA,NA
LCZA.A_2,Gold_mpawatch,LCZA,LCZA,A,2,NA,LCZA.A,NA,500,Sample,LCZA.A_2,NA,3,no,NA,NA
LCZA.A_3,Gold_mpawatch,LCZA,LCZA,A,3,NA,LCZA.A,NA,500,Sample,LCZA.A_3,NA,3,no,NA,NA
LCZA.B_1,Gold_mpawatch,LCZA,LCZA,B,1,NA,LCZA.B,NA,500,Sample,LCZA.B_1,NA,3,no,NA,NA
LCZA.B_2,Gold_mpawatch,LCZA,LCZA,B,2,NA,LCZA.B,NA,500,Sample,LCZA.B_2,NA,3,no,NA,NA
LCZA.B_3,Gold_mpawatch,LCZA,LCZA,B,3,NA,LCZA.B,NA,500,Sample,LCZA.B_3,NA,3,no,NA,NA
LCZA.C_1,Gold_mpawatch,LCZA,LCZA,C,1,NA,LCZA.C,NA,500,Sample,LCZA.C_1,NA,3,no,NA,NA
LCZA.C_2,Gold_mpawatch,LCZA,LCZA,C,2,NA,LCZA.C,NA,500,Sample,LCZA.C_2,NA,3,no,NA,NA
LCZA.C_3,Gold_mpawatch,LCZA,LCZA,C,3,NA,LCZA.C,NA,500,Sample,LCZA.C_3,NA,3,no,NA,NA
LHA_1,Santa_Catalina_Island,Little_Harbor,LH,A,1,10_19_2018,LHA,11_27_2018,1100,Sample,LHA_1,NA,3,keep,19.90749956,18.67308782
LHA_2,Santa_Catalina_Island,Little_Harbor,LH,A,2,10_19_2018,LHA,11_27_2018,1100,Sample,LHA_2,NA,3,keep,19.90749956,18.67308782
LHA_3,Santa_Catalina_Island,Little_Harbor,LH,A,3,10_19_2018,LHA,11_27_2018,1100,Sample,LHA_3,NA,3,keep,19.90749956,18.67308782
LHB_1,Santa_Catalina_Island,Little_Harbor,LH,B,1,10_19_2018,LHB,11_27_2018,1200,Sample,LHB_1,NA,3,keep,19.90749956,18.67308782
LHB_2,Santa_Catalina_Island,Little_Harbor,LH,B,2,10_19_2018,LHB,11_27_2018,1200,Sample,LHB_2,NA,3,keep,19.90749956,18.67308782
LHB_3,Santa_Catalina_Island,Little_Harbor,LH,B,3,10_19_2018,LHB,11_27_2018,1200,Sample,LHB_3,NA,3,keep,19.90749956,18.67308782
LHC_1,Santa_Catalina_Island,Little_Harbor,LH,C,1,10_19_2018,LHC,11_27_2018,1100,Sample,LHC_1,NA,3,keep,19.90749956,18.67308782
LHC_2,Santa_Catalina_Island,Little_Harbor,LH,C,2,10_19_2018,LHC,11_27_2018,1100,Sample,LHC_2,NA,3,keep,19.90749956,18.67308782
LHC_3,Santa_Catalina_Island,Little_Harbor,LH,C,3,10_19_2018,LHC,11_27_2018,1100,Sample,LHC_3,NA,3,keep,19.90749956,18.67308782
LTGO.eDNA.1.2.A_1,Gold_mpawatch,LTGO_1.2,LTGO_1.2,A,1,NA,LTGO_1.2.A,NA,500,Sample,LTGO_eDNA_1.2.A_1,NA,3,no,NA,NA
LTGO.eDNA.1.2.A_2,Gold_mpawatch,LTGO_1.2,LTGO_1.2,A,2,NA,LTGO_1.2.A,NA,500,Sample,LTGO_eDNA_1.2.A_2,NA,3,no,NA,NA
LTGO.eDNA.1.2.A_3,Gold_mpawatch,LTGO_1.2,LTGO_1.2,A,3,NA,LTGO_1.2.A,NA,500,Sample,LTGO_eDNA_1.2.A_3,NA,3,no,NA,NA
LTGO.eDNA.1.2.B_1,Gold_mpawatch,LTGO_1.2,LTGO_1.2,B,1,NA,LTGO_1.2.B,NA,500,Sample,LTGO_eDNA_1.2.B_1,NA,3,no,NA,NA
LTGO.eDNA.1.2.B_2,Gold_mpawatch,LTGO_1.2,LTGO_1.2,B,2,NA,LTGO_1.2.B,NA,500,Sample,LTGO_eDNA_1.2.B_2,NA,3,no,NA,NA
LTGO.eDNA.1.2.B_3,Gold_mpawatch,LTGO_1.2,LTGO_1.2,B,3,NA,LTGO_1.2.B,NA,500,Sample,LTGO_eDNA_1.2.B_3,NA,3,no,NA,NA
LTGO.eDNA.1.2.C_1,Gold_mpawatch,LTGO_1.2,LTGO_1.2,C,1,NA,LTGO_1.2.C,NA,500,Sample,LTGO_eDNA_1.2.C_1,NA,3,no,NA,NA
LTGO.eDNA.1.2.C_2,Gold_mpawatch,LTGO_1.2,LTGO_1.2,C,2,NA,LTGO_1.2.C,NA,500,Sample,LTGO_eDNA_1.2.C_2,NA,3,no,NA,NA
LTGO.eDNA.1.2.C_3,Gold_mpawatch,LTGO_1.2,LTGO_1.2,C,3,NA,LTGO_1.2.C,NA,500,Sample,LTGO_eDNA_1.2.C_3,NA,3,no,NA,NA
LTGO.eDNA.5.A_1,Gold_mpawatch,LTGO_5,LTGO_5,A,1,NA,LTGO_5.A,NA,500,Sample,LTGO_eDNA_5.A_1,NA,3,no,NA,NA
LTGO.eDNA.5.A_2,Gold_mpawatch,LTGO_5,LTGO_5,A,2,NA,LTGO_5.A,NA,500,Sample,LTGO_eDNA_5.A_2,NA,3,no,NA,NA
LTGO.eDNA.5.A_3,Gold_mpawatch,LTGO_5,LTGO_5,A,3,NA,LTGO_5.A,NA,500,Sample,LTGO_eDNA_5.A_3,NA,3,no,NA,NA
LTGO.eDNA.5.B_1,Gold_mpawatch,LTGO_5,LTGO_5,B,1,NA,LTGO_5.B,NA,500,Sample,LTGO_eDNA_5.B_1,NA,3,no,NA,NA
LTGO.eDNA.5.B_2,Gold_mpawatch,LTGO_5,LTGO_5,B,2,NA,LTGO_5.B,NA,500,Sample,LTGO_eDNA_5.B_2,NA,3,no,NA,NA
LTGO.eDNA.5.B_3,Gold_mpawatch,LTGO_5,LTGO_5,B,3,NA,LTGO_5.B,NA,500,Sample,LTGO_eDNA_5.B_3,NA,3,no,NA,NA
LTGO.eDNA.5.C_1,Gold_mpawatch,LTGO_5,LTGO_5,C,1,NA,LTGO_5.C,NA,500,Sample,LTGO_eDNA_5.C_1,NA,3,no,NA,NA
LTGO.eDNA.5.C_2,Gold_mpawatch,LTGO_5,LTGO_5,C,2,NA,LTGO_5.C,NA,500,Sample,LTGO_eDNA_5.C_2,NA,3,no,NA,NA
LTGO.eDNA.5.C_3,Gold_mpawatch,LTGO_5,LTGO_5,C,3,NA,LTGO_5.C,NA,500,Sample,LTGO_eDNA_5.C_3,NA,3,no,NA,NA
LTGP.A_1,Gold_mpawatch,LTGP,LTGP,A,1,NA,LTGP.A,NA,500,Sample,LTGP.A_1,NA,3,no,NA,NA
LTGP.A_2,Gold_mpawatch,LTGP,LTGP,A,2,NA,LTGP.A,NA,500,Sample,LTGP.A_2,NA,3,no,NA,NA
LTGP.A_3,Gold_mpawatch,LTGP,LTGP,A,3,NA,LTGP.A,NA,500,Sample,LTGP.A_3,NA,3,no,NA,NA
LTGP.B_1,Gold_mpawatch,LTGP,LTGP,B,1,NA,LTGP.B,NA,500,Sample,LTGP.B_1,NA,3,no,NA,NA
LTGP.B_2,Gold_mpawatch,LTGP,LTGP,B,2,NA,LTGP.B,NA,500,Sample,LTGP.B_2,NA,3,no,NA,NA
LTGP.B_3,Gold_mpawatch,LTGP,LTGP,B,3,NA,LTGP.B,NA,500,Sample,LTGP.B_3,NA,3,no,NA,NA
LTGP.C_1,Gold_mpawatch,LTGP,LTGP,C,1,NA,LTGP.C,NA,500,Sample,LTGP.C_1,NA,3,no,NA,NA
LTGP.C_2,Gold_mpawatch,LTGP,LTGP,C,2,NA,LTGP.C,NA,500,Sample,LTGP.C_2,NA,3,no,NA,NA
LTGP.C_3,Gold_mpawatch,LTGP,LTGP,C,3,NA,LTGP.C,NA,500,Sample,LTGP.C_3,NA,3,no,NA,NA
PIDB.A_1,Gold_mpawatch,PIDB,PIDB,A,1,NA,PIDB.A,NA,500,Sample,PIDB.A_1,NA,3,no,NA,NA
PIDB.A_2,Gold_mpawatch,PIDB,PIDB,A,2,NA,PIDB.A,NA,500,Sample,PIDB.A_2,NA,3,no,NA,NA
PIDB.A_3,Gold_mpawatch,PIDB,PIDB,A,3,NA,PIDB.A,NA,500,Sample,PIDB.A_3,NA,3,no,NA,NA
PIDB.B_1,Gold_mpawatch,PIDB,PIDB,B,1,NA,PIDB.B,NA,500,Sample,PIDB.B_1,NA,3,no,NA,NA
PIDB.B_2,Gold_mpawatch,PIDB,PIDB,B,2,NA,PIDB.B,NA,500,Sample,PIDB.B_2,NA,3,no,NA,NA
PIDB.B_3,Gold_mpawatch,PIDB,PIDB,B,3,NA,PIDB.B,NA,500,Sample,PIDB.B_3,NA,3,no,NA,NA
PIDB.C_1,Gold_mpawatch,PIDB,PIDB,C,1,NA,PIDB.C,NA,500,Sample,PIDB.C_1,NA,3,no,NA,NA
PIDB.C_2,Gold_mpawatch,PIDB,PIDB,C,2,NA,PIDB.C,NA,500,Sample,PIDB.C_2,NA,3,no,NA,NA
PIDB.C_3,Gold_mpawatch,PIDB,PIDB,C,3,NA,PIDB.C,NA,500,Sample,PIDB.C_3,NA,3,no,NA,NA
PTDS.A_1,Gold_mpawatch,PTDS,PTDS,A,1,NA,PTDS.A,NA,500,Sample,PTDS.A_1,NA,3,no,NA,NA
PTDS.A_2,Gold_mpawatch,PTDS,PTDS,A,2,NA,PTDS.A,NA,500,Sample,PTDS.A_2,NA,3,no,NA,NA
PTDS.A_3,Gold_mpawatch,PTDS,PTDS,A,3,NA,PTDS.A,NA,500,Sample,PTDS.A_3,NA,3,no,NA,NA
PTDS.B_1,Gold_mpawatch,PTDS,PTDS,B,1,NA,PTDS.B,NA,500,Sample,PTDS.B_1,NA,3,no,NA,NA
PTDS.B_2,Gold_mpawatch,PTDS,PTDS,B,2,NA,PTDS.B,NA,500,Sample,PTDS.B_2,NA,3,no,NA,NA
PTDS.B_3,Gold_mpawatch,PTDS,PTDS,B,3,NA,PTDS.B,NA,500,Sample,PTDS.B_3,NA,3,no,NA,NA
PTDS.C_1,Gold_mpawatch,PTDS,PTDS,C,1,NA,PTDS.C,NA,500,Sample,PTDS.C_1,NA,3,no,NA,NA
PTDS.C_2,Gold_mpawatch,PTDS,PTDS,C,2,NA,PTDS.C,NA,500,Sample,PTDS.C_2,NA,3,no,NA,NA
PTDS.C_3,Gold_mpawatch,PTDS,PTDS,C,3,NA,PTDS.C,NA,500,Sample,PTDS.C_3,NA,3,no,NA,NA
RBA_1,Isla_Vista,R_Beach,RB,A,1,10_10_2018,RBA,11_27_2018,1200,Sample,RBA_1,NA,3,no,19.06999957,16.31397022
RBA_2,Isla_Vista,R_Beach,RB,A,2,10_10_2018,RBA,11_27_2018,1200,Sample,RBA_2,NA,3,no,19.06999957,16.31397022
RBA_3,Isla_Vista,R_Beach,RB,A,3,10_10_2018,RBA,11_27_2018,1200,Sample,RBA_3,NA,3,no,19.06999957,16.31397022
RBB_1,Isla_Vista,R_Beach,RB,B,1,10_10_2018,RBB,11_27_2018,1200,Sample,RBB_1,NA,3,no,19.06999957,16.31397022
RBB_2,Isla_Vista,R_Beach,RB,B,2,10_10_2018,RBB,11_27_2018,1200,Sample,RBB_2,NA,3,no,19.06999957,16.31397022
RBB_3,Isla_Vista,R_Beach,RB,B,3,10_10_2018,RBB,11_27_2018,1200,Sample,RBB_3,NA,3,no,19.06999957,16.31397022
RBC_1,Isla_Vista,R_Beach,RB,C,1,10_10_2018,RBC,11_27_2018,1200,Sample,RBC_1,NA,3,no,19.06999957,16.31397022
RBC_2,Isla_Vista,R_Beach,RB,C,2,10_10_2018,RBC,11_27_2018,1200,Sample,RBC_2,NA,3,no,19.06999957,16.31397022
RBC_3,Isla_Vista,R_Beach,RB,C,3,10_10_2018,RBC,11_27_2018,1200,Sample,RBC_3,NA,3,no,19.06999957,16.31397022
SAA_1,Santa_Rosa_Island,Southeast_Anchorage,SA,A,1,9_13_2018,SAA,9_27_2018,1200,Sample,SAA_1,NA,3,keep,17.9799996,15.0580879
SAA_2,Santa_Rosa_Island,Southeast_Anchorage,SA,A,2,9_13_2018,SAA,9_27_2018,1200,Sample,SAA_2,NA,3,keep,17.9799996,15.0580879
SAA_3,Santa_Rosa_Island,Southeast_Anchorage,SA,A,3,9_13_2018,SAA,9_27_2018,1200,Sample,SAA_3,NA,3,keep,17.9799996,15.0580879
SAB_1,Santa_Rosa_Island,Southeast_Anchorage,SA,B,1,9_13_2018,SAB,9_27_2018,1250,Sample,SAB_1,NA,3,keep,17.9799996,15.0580879
SAB_2,Santa_Rosa_Island,Southeast_Anchorage,SA,B,2,9_13_2018,SAB,9_27_2018,1250,Sample,SAB_2,NA,3,keep,17.9799996,15.0580879
